dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2024-08-28,GOOGL,164.68,165.84,166.44,164.46,166.16,-0.19819819819819828,11821942,1955402405.539,165.4,0.1,5859000320,12310000000.0,964860172697.6,2036704000000.0
2024-08-27,GOOGL,166.16,166.38,167.55,164.46,165.62,-1.3707865168539326,14190418,2354504096.342,165.92,0.12,5859000320,12310000000.0,973531551761.2,2055314000000.0
2024-08-24,GOOGL,165.62,164.72,166.18,163.83,163.8,2.3636363636363638,13955743,2305343743.4302,165.19,0.11,5859000320,12310000000.0,970367632998.4,2048890000000.0
2024-08-23,GOOGL,163.8,167.26,167.59,163.31,165.85,-2.1171171171171173,22493274,3707885757.9108,164.84,0.18,5859000320,12310000000.0,959704311006.0,2025816000000.0
2024-08-22,GOOGL,165.85,165.15,166.85,164.67,167.18,-0.35483870967741926,22901997,3796926892.0494,165.79,0.19,5859000320,12310000000.0,971715261662.0,2051553000000.0
2024-08-21,GOOGL,167.18,166.9,168.64,166.82,166.67,-1.3875,17114071,2868598970.3644,167.62,0.14,5859000320,12310000000.0,979507673497.6,2067927000000.0
2024-08-20,GOOGL,166.67,165.28,166.69,164.26,162.96,6.354838709677419,21570610,3574554222.601,165.71,0.18,5859000320,12310000000.0,976519583334.4,2061368000000.0
2024-08-17,GOOGL,162.96,161.47,165.06,161.13,161.3,-0.5482456140350876,24208649,3954398083.8785,163.35,0.2,5859000320,12310000000.0,954782750737.2,2015978000000.0
2024-08-16,GOOGL,161.3,160.5,161.64,159.61,160.37,-0.4368932038834952,31378911,5046412949.0598,160.82,0.25,5859000320,12310000000.0,945056810206.0,1996046000000.0
2024-08-15,GOOGL,160.37,162.4,163.22,157.71,164.16,-4.982758620689656,39898793,6363023598.7263,159.48,0.32,5859000320,12310000000.0,939607881318.4,1983425000000.0
2024-08-14,GOOGL,164.16,163.41,164.73,162.97,162.29,-1.4978354978354977,17819786,2920759152.2444,163.91,0.14,5859000320,12310000000.0,961813551121.2,2030694000000.0
2024-08-13,GOOGL,162.29,164.35,164.9,161.84,163.67,-1.7304347826086957,15826524,2578538005.3524,162.93,0.13,5859000320,12310000000.0,950857161932.8,2007060000000.0
2024-08-10,GOOGL,163.67,160.01,163.79,159.06,162.03,-2.2023809523809526,28009696,4517594516.9098,161.29,0.23,5859000320,12310000000.0,958942582374.4,2024383000000.0
2024-08-09,GOOGL,162.03,160.51,163.69,160.21,158.94,0.9207920792079207,25299969,4107369260.2489,162.35,0.21,5859000320,12310000000.0,949333821849.6,2004697000000.0
2024-08-08,GOOGL,158.94,161.25,162.98,158.47,158.29,-0.788659793814433,24902915,3991775654.5816,160.29,0.2,5859000320,12310000000.0,931229569450.8,1966659000000.0
2024-08-07,GOOGL,158.29,159.33,160.57,156.41,159.25,-2.4634146341463414,49004563,7772305008.6831,158.6,0.4,5859000320,12310000000.0,927421160652.8,1961115000000.0
2024-08-06,GOOGL,159.25,155.5,164.43,154.93,166.66,6.416666666666667,53417004,8558318005.7384,160.22,0.43,5859000320,12310000000.0,933045800960.0,1968129000000.0
2024-08-03,GOOGL,166.66,166.44,168.51,164.67,170.76,-0.4606741573033708,29130102,4839637568.4484,166.14,0.24,5859000320,12310000000.0,976461051921.2,2061302000000.0
2024-08-02,GOOGL,170.76,170.25,174.05,168.88,171.54,-0.8125,23750489,4061704126.6284,171.02,0.19,5859000320,12310000000.0,1000482894643.2,2111493000000.0
2024-08-01,GOOGL,171.54,173.24,174.25,170.01,170.29,-2.6222222222222222,25729090,4414373676.4079,171.57,0.21,5859000320,12310000000.0,1005052914892.8,2120648000000.0
2024-07-31,GOOGL,170.29,170.24,171.23,168.44,169.53,-0.3835616438356164,18959688,3222119534.5073,169.95,0.15,5859000320,12310000000.0,997729164492.8,2105037000000.0
2024-07-30,GOOGL,169.53,168.83,170.43,167.99,167.0,2.3777777777777778,19271583,3264350040.8619,169.39,0.16,5859000320,12310000000.0,993276324249.6,2095849000000.0
2024-07-27,GOOGL,167.0,167.15,168.09,164.06,167.28,-1.111842105263158,39587731,6579433782.8001,166.2,0.32,5859000320,12310000000.0,978453053440.0,2065151000000.0
2024-07-26,GOOGL,167.28,172.52,173.42,167.19,172.63,17.235294117647058,44851973,7619274213.8677,169.88,0.36,5859000320,12310000000.0,980093573529.6,2069716000000.0
2024-07-25,GOOGL,172.63,173.6,176.19,171.82,181.79,0.6258064516129032,49585204,8598426924.4004,173.41,0.4,5859000320,12310000000.0,1011439283831.6,2134792000000.0
2024-07-24,GOOGL,181.79,182.05,183.61,181.54,181.67,-1.0138888888888888,36352715,6637765831.081,182.59,0.29,5859998720,12358000000.0,1065289167308.8,2256725000000.0
2024-07-23,GOOGL,181.67,180.59,182.7,180.23,177.66,31.285714285714278,24100344,4379933857.6656,181.74,0.2,5873999360,12358000000.0,1067129463731.2,2254513000000.0
2024-07-20,GOOGL,177.66,178.88,180.29,177.13,177.69,-1.008849557522124,18881887,3368436119.5537,178.4,0.15,5873999360,12358000000.0,1043574785037.59,2205239000000.0
2024-07-19,GOOGL,177.69,181.93,182.5,176.47,181.02,91.0,25315727,4509098309.8988,178.11,0.2,5873999360,12358000000.0,1043751005018.39,2204486000000.0
2024-07-18,GOOGL,181.02,182.97,183.55,179.9,183.92,-0.14130434782608692,20734071,3755749094.2097,181.14,0.17,5873999360,12358000000.0,1063311422887.19,2246031000000.0
2024-07-17,GOOGL,183.92,187.36,188.68,183.37,186.53,-0.11392405063291144,18290723,3383545975.601,184.99,0.15,5873999360,12358000000.0,1080345962291.2,2281757000000.0
2024-07-16,GOOGL,186.53,184.92,188.24,184.92,185.07,-1.5642857142857145,16474043,3076885016.9831,186.77,0.13,5873999360,12358000000.0,1095677100620.8,2314459000000.0
2024-07-13,GOOGL,185.07,185.08,187.11,184.49,185.57,-1.3417721518987342,22898407,4250388797.2799,185.62,0.19,5873999360,12358000000.0,1087101120295.19,2296697000000.0
