dt,symbol,close,open,high,low,pre_close,return,vol,amount,vwap,turnover_ratio,free_share,total_share,free_mv,total_mv
2025-03-04,ADBE,440.72,440.65,448.09,438.21,438.56,-0.5916666666666667,2601697,1151919792.7817,442.76,0.6,434897366,434897000.0,180167880938.84,191667940000.0
2025-03-01,ADBE,438.56,438.16,440.37,432.1,437.19,-0.36734693877551017,3413916,1491496236.4144,436.89,0.78,435309143,435309000.0,179454651640.27,190909130000.0
2025-02-28,ADBE,437.19,441.79,444.57,436.82,441.5,-4.161290322580645,2336220,1027473107.0544,439.8,0.54,435309143,435309000.0,178894015514.95,190312690000.0
2025-02-27,ADBE,441.5,443.8,447.65,438.4,443.41,-0.5612244897959184,1941480,859128605.4708,442.51,0.45,435309143,435309000.0,180657647436.43,192188940000.0
2025-02-26,ADBE,443.41,443.47,447.49,439.17,444.42,-0.4651162790697674,2604207,1154143109.4666,443.18,0.6,435309143,435309000.0,181439168736.52,193020320000.0
2025-02-25,ADBE,444.42,445.11,446.28,440.91,444.32,-1.0869565217391304,2802400,1244773282.784,444.18,0.64,435309143,435309000.0,181852455328.79,
2025-02-22,ADBE,444.32,453.27,453.75,440.69,454.69,-114.99999999999999,3350992,1495704153.9066,446.35,0.77,435309143,435309000.0,181811593556.04,
2025-02-21,ADBE,454.69,457.44,461.0,451.57,456.99,-0.7807017543859649,2335510,1061784666.9497,454.63,0.54,435309143,435309000.0,186054850917.3,197930630000.0
2025-02-20,ADBE,456.99,463.61,463.61,455.32,464.11,2.06,2961548,1354539467.6585,457.38,0.68,435309143,435309000.0,186996009744.0,198931880000.0
2025-02-19,ADBE,464.11,462.65,464.33,453.07,460.16,-1.5620915032679739,2966892,1366007513.964,460.42,0.68,435309143,435309000.0,189909491787.23,202031320000.0
2025-02-15,ADBE,460.16,463.35,464.99,458.0,459.22,-0.7674418604651163,2618211,1205537870.029,460.44,0.6,435309143,435309000.0,188293111193.06,200311750000.0
2025-02-14,ADBE,459.22,465.21,465.7,457.03,462.76,-4.85,2791088,1283604764.2264,459.89,0.64,435309143,435309000.0,187908496585.74,199902570000.0
2025-02-13,ADBE,462.76,458.0,463.0,451.3,458.82,-2.116883116883117,3304119,1518887214.9933,459.7,0.76,435309143,435309000.0,189357043565.71,201443570000.0
2025-02-12,ADBE,458.82,449.0,461.55,448.29,451.1,0.9883720930232558,3114320,1427075569.8936,458.23,0.72,435309143,435309000.0,187744857175.13,199728500000.0
2025-02-11,ADBE,451.1,439.25,453.37,439.0,433.07,1.4327485380116962,3942241,1776276973.161,450.58,0.91,435309143,435309000.0,184585918061.92,196367940000.0
2025-02-08,ADBE,433.07,436.24,441.0,432.41,435.4,-1.1298076923076923,2691287,1171997033.7464,435.48,0.62,435309143,435309000.0,177208199368.81,188519320000.0
2025-02-07,ADBE,435.4,437.63,439.96,434.35,437.63,-0.05555555555555558,2561938,1118482360.7865,436.58,0.59,435309143,435309000.0,178161547983.31,189533500000.0
2025-02-06,ADBE,437.63,440.75,444.95,436.27,440.23,0.1568627450980391,2931996,1285416835.4794,438.41,0.67,435309143,435309000.0,179074034825.06,190504250000.0
2025-02-05,ADBE,440.23,435.43,443.58,434.26,438.6,-1.6271186440677967,2638786,1162352380.1143,440.49,0.61,435309143,435309000.0,180137971289.61,191636070000.0
2025-02-04,ADBE,438.6,437.8,442.74,430.88,437.45,-0.29729729729729726,3333152,1461793040.799,438.56,0.77,435309143,435309000.0,179471035631.67,190926570000.0
2025-02-01,ADBE,437.45,446.98,447.01,435.83,446.0,-8.384615384615383,4607246,2023149067.4318,439.12,1.06,435309143,435309000.0,179000409161.41,190425940000.0
